case,world,gate_attempts,train_seed,mix,heldout_l1,mc_floor_l1,loss,wall_s
A,0,1,0,0.0,0.05821309299910934,0.22308299988700517,0.008981160819530487,316.25693917274475
A,0,1,1,0.0,0.08170096568480681,0.22308299988700517,0.01383234839886427,341.1577453613281
A,0,1,2,0.0,0.05434541367289931,0.22308299988700517,0.0031533041037619114,295.0916016101837
A,0,1,0,0.25,0.09280438367074974,0.22308299988700517,0.036022938787937164,330.570387840271
A,0,1,1,0.25,0.05455668179355624,0.22308299988700517,0.0025955084711313248,308.4271523952484
A,0,1,2,0.25,0.09959536160797498,0.22308299988700517,0.012889477424323559,351.86958956718445
A,0,1,0,0.5,0.06839700048400349,0.22308299988700517,0.025750605389475822,303.22692799568176
A,0,1,1,0.5,0.077176222436916,0.22308299988700517,0.008916215971112251,297.3578419685364
A,0,1,2,0.5,0.09467227358522319,0.22308299988700517,0.0247613787651062,338.47533440589905
A,0,1,0,1.0,0.10983565355582285,0.22308299988700517,0.04734189063310623,97.0898425579071
A,0,1,1,1.0,0.07388949394753502,0.22308299988700517,0.012804615311324596,140.7002890110016
A,0,1,2,1.0,0.06757946686891105,0.22308299988700517,0.005918233655393124,104.10676097869873
A,100003,1,0,0.0,0.07675885113387101,0.2220071526314627,0.013190770521759987,299.6871659755707
A,100003,1,1,0.0,0.05563998065029849,0.2220071526314627,0.0036148913204669952,272.4018280506134
A,100003,1,2,0.0,0.061560402075180494,0.2220071526314627,0.0035775520373135805,277.23550152778625
A,100003,1,0,0.25,0.06891153732982637,0.2220071526314627,0.013184145092964172,332.9800925254822
A,100003,1,1,0.25,0.05807583792110863,0.2220071526314627,0.0019532672595232725,334.4263195991516
A,100003,1,2,0.25,0.08161452357678302,0.2220071526314627,0.03445900231599808,371.4850289821625
A,100003,1,0,0.5,0.06617596150026923,0.2220071526314627,0.0319557785987854,288.3858714103699
A,100003,1,1,0.5,0.07029184372107523,0.2220071526314627,0.0062170932069420815,318.69271898269653
A,100003,1,2,0.5,0.0662855979075964,0.2220071526314627,0.018146295100450516,340.9348545074463
A,100003,1,0,1.0,0.07375389270325469,0.2220071526314627,0.01750892400741577,122.8704125881195
A,100003,1,1,1.0,0.07742245119382875,0.2220071526314627,0.026347704231739044,104.1299364566803
A,100003,1,2,1.0,0.07261981354978138,0.2220071526314627,0.01619608700275421,139.73873376846313
A,200006,1,0,0.0,0.06271481394604181,0.22277780920576923,0.006252320483326912,330.4909653663635
A,200006,1,1,0.0,0.11065521562106419,0.22277780920576923,0.02011459320783615,292.123441696167
A,200006,1,2,0.0,0.07644106757160772,0.22277780920576923,0.006078323349356651,303.6919906139374
A,200006,1,0,0.25,0.11331046496313274,0.22277780920576923,0.05161647871136665,284.891144990921
A,200006,1,1,0.25,0.061123617745744735,0.22277780920576923,0.009875478222966194,319.90956807136536
A,200006,1,2,0.25,0.06173970925211111,0.22277780920576923,0.00460696779191494,296.4716007709503
A,200006,1,0,0.5,0.07085493617616477,0.22277780920576923,0.04405297711491585,320.3040540218353
A,200006,1,1,0.5,0.1054420541929168,0.22277780920576923,0.011498875916004181,318.4790267944336
A,200006,1,2,0.5,0.11048498168926789,0.22277780920576923,0.057065390050411224,330.65807914733887
A,200006,1,0,1.0,0.07953624671575708,0.22277780920576923,0.022183505818247795,97.04636716842651
A,200006,1,1,1.0,0.0822072008503585,0.22277780920576923,0.01568012684583664,108.57259225845337
A,200006,1,2,1.0,0.0721018383899906,0.22277780920576923,0.0064638517796993256,138.00309014320374
A,300009,1,0,0.0,0.06028273891116055,0.2229355145223305,0.0055325827561318874,331.63188195228577
A,300009,1,1,0.0,0.11795782577442769,0.2229355145223305,0.04603075608611107,331.66995072364807
A,300009,1,2,0.0,0.06684706634307759,0.2229355145223305,0.005152614321559668,300.046466588974
A,300009,1,0,0.25,0.10141798647341602,0.2229355145223305,0.05275402218103409,347.73964190483093
A,300009,1,1,0.25,0.06901961015781481,0.2229355145223305,0.004819174762815237,311.8714542388916
A,300009,1,2,0.25,0.13203861877617268,0.2229355145223305,0.03374696150422096,344.3101828098297
A,300009,1,0,0.5,0.06907693993136088,0.2229355145223305,0.02201778069138527,310.72058629989624
A,300009,1,1,0.5,0.08109046287176826,0.2229355145223305,0.007010756526142359,299.24984669685364
A,300009,1,2,0.5,0.10996696094726896,0.2229355145223305,0.04230457544326782,253.94667649269104
A,300009,1,0,1.0,0.14509076944344784,0.2229355145223305,0.09329991787672043,111.25658106803894
A,300009,1,1,1.0,0.09303117632396381,0.2229355145223305,0.05247722566127777,143.28143525123596
A,300009,1,2,1.0,0.08394329321171094,0.2229355145223305,0.014889425598084927,125.99228644371033
