case,world,train_seed,cond_idx,expert_steps,l1_expert,l1_conditional
B,300009,1,6,500,0.11006061800074947,0.2519694101951595
B,300009,1,7,500,0.11198049996366562,0.19250194240143081
B,300009,1,8,500,0.053353596117481146,0.276346440818627
B,300009,2,0,500,0.04903060874458208,0.42159126997432006
B,300009,2,1,500,0.04770575093068632,0.4150832074990254
B,300009,2,2,500,0.04089779889347667,0.4262928901661889
B,300009,2,3,500,0.14088133616111997,0.37195027178296575
B,300009,2,4,500,0.12392616670904484,0.3548657865334035
B,300009,2,5,500,0.1709964257246429,0.4793815732284201
B,300009,2,6,500,0.07231333627239904,0.2710475301979652
B,300009,2,7,500,0.07528688905088524,0.22984892619146663
B,300009,2,8,500,0.06792813879013729,0.29917345878732315
