case,world,gate_attempts,train_seed,heldout_l1,mc_floor_l1,loss,wall_s
C,0,1,0,0.41677735423262385,0.2058551637288405,1.212630271911621,485.25314807891846
C,0,1,1,0.40797226522908414,0.2058551637288405,1.437489628791809,496.1999945640564
C,0,1,2,0.41305297312924455,0.2058551637288405,1.6287147998809814,517.8783257007599
C,100004,2,0,0.43720009482097477,0.1916884412264532,0.8792138695716858,470.8346412181854
C,100004,2,1,0.46486075017786127,0.1916884412264532,1.2283345460891724,520.6161456108093
C,100004,2,2,0.44282092887335717,0.1916884412264532,0.7514427304267883,539.5069735050201
C,200006,1,0,0.36798261061630044,0.20588557700315466,1.1364495754241943,461.57051038742065
C,200006,1,1,0.37384259880763915,0.20588557700315466,1.275006890296936,514.2458095550537
C,200006,1,2,0.3399766188153412,0.20588557700315466,0.6240028142929077,455.6996123790741
C,300009,1,0,0.45977021825879555,0.19272534941771668,1.0537080764770508,389.2458746433258
C,300009,1,1,0.4390031623821313,0.19272534941771668,1.3985631465911865,393.82207226753235
C,300009,1,2,0.44770682729883415,0.19272534941771668,0.9242364764213562,345.9101459980011
