case,world,train_seed,loss_kind,heldout_l1,mc_floor_l1,final_loss,wall_s
A,0,0,tb,0.06839700048400349,0.22308299988700517,0.025750605389475822,283.12899470329285
A,0,0,exact_kl,0.04568898847597736,0.22308299988700517,6.4194440841674805,106.20541310310364
A,0,1,tb,0.077176222436916,0.22308299988700517,0.008916215971112251,323.04427671432495
A,0,1,exact_kl,0.03623253654810441,0.22308299988700517,6.588644981384277,79.64121842384338
A,0,2,tb,0.09467227358522319,0.22308299988700517,0.0247613787651062,311.88523626327515
A,0,2,exact_kl,0.03572240822862722,0.22308299988700517,6.5859880447387695,74.62149238586426
A,100003,0,tb,0.06617596150026923,0.2220071526314627,0.0319557785987854,325.2812647819519
A,100003,0,exact_kl,0.03440676098058399,0.2220071526314627,6.433670997619629,112.92677450180054
A,100003,1,tb,0.07029184372107523,0.2220071526314627,0.0062170932069420815,309.6379189491272
A,100003,1,exact_kl,0.03514514227989352,0.2220071526314627,6.5963592529296875,148.65130639076233
A,100003,2,tb,0.0662855979075964,0.2220071526314627,0.018146295100450516,346.54666233062744
A,100003,2,exact_kl,0.03085195224804971,0.2220071526314627,6.5648040771484375,103.63432097434998
A,200006,0,tb,0.07085493617616477,0.22277780920576923,0.04405297711491585,316.4971270561218
A,200006,0,exact_kl,0.040327616299466795,0.22277780920576923,6.35544490814209,88.45393395423889
A,200006,1,tb,0.1054420541929168,0.22277780920576923,0.011498875916004181,339.6935684680939
A,200006,1,exact_kl,0.04609734050671167,0.22277780920576923,6.559704780578613,110.9628038406372
A,200006,2,tb,0.11048498168926789,0.22277780920576923,0.057065390050411224,291.847051858902
A,200006,2,exact_kl,0.03668963736201962,0.22277780920576923,6.592757701873779,68.48536252975464
A,300009,0,tb,0.06907693993136088,0.2229355145223305,0.02201778069138527,343.7881200313568
A,300009,0,exact_kl,0.040200184653897804,0.2229355145223305,6.41724157333374,92.77547240257263
A,300009,1,tb,0.08109046287176826,0.2229355145223305,0.007010756526142359,325.9040677547455
A,300009,1,exact_kl,0.03822007776212428,0.2229355145223305,6.609460830688477,79.14588952064514
A,300009,2,tb,0.10996696094726896,0.2229355145223305,0.04230457544326782,265.5562665462494
A,300009,2,exact_kl,0.03844595227512316,0.2229355145223305,6.603177547454834,70.4779326915741
