case,world,train_seed,loss_kind,heldout_l1,mc_floor_l1,final_loss,wall_s
B,0,0,tb,0.34977895712192564,0.15290974385218317,0.749178409576416,335.2005739212036
B,0,0,exact_kl,0.13756557863125377,0.15290974385218317,4.951254367828369,131.7705101966858
B,0,1,tb,0.3644559974727593,0.15290974385218317,0.9307080507278442,322.8954918384552
B,0,1,exact_kl,0.1488680402556433,0.15290974385218317,4.880550384521484,122.5517327785492
B,0,2,tb,0.37133942817082705,0.15290974385218317,0.6619681119918823,368.2097487449646
B,0,2,exact_kl,0.1605607832428506,0.15290974385218317,5.183626174926758,108.73323678970337
B,100003,0,tb,0.42349724173740666,0.14245928497289348,0.6967719793319702,355.354190826416
B,100003,0,exact_kl,0.1915022290212806,0.14245928497289348,4.761884689331055,101.70077514648438
B,100003,1,tb,0.44814210154572165,0.14245928497289348,1.7973763942718506,334.14089727401733
B,100003,1,exact_kl,0.19743436510587148,0.14245928497289348,4.355733871459961,82.22830295562744
B,100003,2,tb,0.4615669253765908,0.14245928497289348,0.7191165685653687,371.5868983268738
B,100003,2,exact_kl,0.23260487835756366,0.14245928497289348,5.01624059677124,94.78884696960449
B,200006,0,tb,0.373897103072251,0.15352589530223076,0.6128225326538086,384.4902219772339
B,200006,0,exact_kl,0.13758296452537258,0.15352589530223076,4.9315972328186035,98.63457798957825
B,200006,1,tb,0.3952651474539615,0.15352589530223076,0.3701820969581604,352.6777594089508
B,200006,1,exact_kl,0.14765524465116694,0.15352589530223076,4.896282196044922,100.27209758758545
B,200006,2,tb,0.43235426457157766,0.15352589530223076,0.7042311429977417,323.4927055835724
B,200006,2,exact_kl,0.1836386851600478,0.15352589530223076,5.196256637573242,90.23047637939453
B,300009,0,tb,0.37379670893139294,0.13928827565349663,0.7004383206367493,365.5279018878937
B,300009,0,exact_kl,0.17369733338613352,0.13928827565349663,4.699928283691406,89.42129731178284
B,300009,1,tb,0.39098153968567617,0.13928827565349663,0.7800331115722656,367.32327032089233
B,300009,1,exact_kl,0.17891065095083225,0.13928827565349663,4.5666303634643555,100.94090008735657
B,300009,2,tb,0.3966012257837915,0.13928827565349663,0.9197118282318115,335.8882248401642
B,300009,2,exact_kl,0.1970301387224998,0.13928827565349663,4.934518814086914,112.34536600112915
