case,world,gate_attempts,train_seed,heldout_l1,mc_floor_l1,loss,wall_s
A,0,1,0,0.06839700048400349,0.22308299988700517,0.025750605389475822,567.6962683200836
A,0,1,1,0.077176222436916,0.22308299988700517,0.008916215971112251,562.1490161418915
A,0,1,2,0.09467227358522319,0.22308299988700517,0.0247613787651062,568.1644742488861
A,100003,1,0,0.06617596150026923,0.2220071526314627,0.0319557785987854,559.7682309150696
A,100003,1,1,0.07029184372107523,0.2220071526314627,0.0062170932069420815,552.7541215419769
A,100003,1,2,0.0662855979075964,0.2220071526314627,0.018146295100450516,568.2891061306
A,200006,1,0,0.07085493617616477,0.22277780920576923,0.04405297711491585,563.7135319709778
A,200006,1,1,0.1054420541929168,0.22277780920576923,0.011498875916004181,561.8403925895691
A,200006,1,2,0.11048498168926789,0.22277780920576923,0.057065390050411224,569.4651362895966
A,300009,1,0,0.06907693993136088,0.2229355145223305,0.02201778069138527,558.5629458427429
A,300009,1,1,0.08109046287176826,0.2229355145223305,0.007010756526142359,554.652685880661
A,300009,1,2,0.10996696094726896,0.2229355145223305,0.04230457544326782,570.6144149303436
