case,world,train_seed,loss_kind,heldout_l1,mc_floor_l1,final_loss,wall_s
D,1,0,tb,0.10844289338334935,0.22530121452515084,0.037226803600788116,322.45472621917725
D,1,0,exact_kl,0.09185487932883858,0.22530121452515084,6.604673385620117,109.92398619651794
D,1,1,tb,0.14475272885919682,0.22530121452515084,0.050842173397541046,337.1277506351471
D,1,1,exact_kl,0.09803466710749716,0.22530121452515084,6.547623634338379,120.05398774147034
D,1,2,tb,0.11181715577184188,0.22530121452515084,0.008037827908992767,323.3051507472992
D,1,2,exact_kl,0.09232040457268269,0.22530121452515084,6.607757568359375,118.10275959968567
D,100011,0,tb,0.12328850184280743,0.22403939249733654,0.04506343603134155,331.8258755207062
D,100011,0,exact_kl,0.0953101154381449,0.22403939249733654,6.582685947418213,95.6628029346466
D,100011,1,tb,0.15696705496627036,0.22403939249733654,0.020807672291994095,377.21172738075256
D,100011,1,exact_kl,0.10019244395520736,0.22403939249733654,6.522409439086914,99.43647742271423
D,100011,2,tb,0.13045158705007717,0.22403939249733654,0.01812463440001011,324.3270149230957
D,100011,2,exact_kl,0.10413443421916986,0.22403939249733654,6.601295471191406,87.34023070335388
D,200009,0,tb,0.13645376867687986,0.2151340485962635,0.056100018322467804,327.96802520751953
D,200009,0,exact_kl,0.10871835159591581,0.2151340485962635,6.47689962387085,93.60394430160522
D,200009,1,tb,0.13812880434747782,0.2151340485962635,0.015982983633875847,316.1791281700134
D,200009,1,exact_kl,0.10210891103670787,0.2151340485962635,6.392669200897217,109.09461307525635
D,200009,2,tb,0.1294755946335033,0.2151340485962635,0.01618279330432415,327.30597734451294
D,200009,2,exact_kl,0.10311500528452068,0.2151340485962635,6.487173080444336,205.40306854248047
D,300009,0,tb,0.12809206384891658,0.21956060250264497,0.028553759679198265,361.73058104515076
D,300009,0,exact_kl,0.10760515673132894,0.21956060250264497,6.527562141418457,207.32858633995056
D,300009,1,tb,0.1343747799339982,0.21956060250264497,0.014252985827624798,355.43442606925964
D,300009,1,exact_kl,0.10292993756414122,0.21956060250264497,6.4883832931518555,72.39408946037292
D,300009,2,tb,0.15828091484174014,0.21956060250264497,0.015531446784734726,262.76623153686523
D,300009,2,exact_kl,0.09815778618078395,0.21956060250264497,6.5313191413879395,82.86275339126587
