case,world,gate_attempts,train_seed,heldout_l1,mc_floor_l1,loss,wall_s
B,0,1,0,0.34977895712192564,0.15290974385218317,0.749178409576416,701.9028518199921
B,0,1,1,0.3644559974727593,0.15290974385218317,0.9307080507278442,706.3549861907959
B,0,1,2,0.37133942817082705,0.15290974385218317,0.6619681119918823,457.5994520187378
B,100003,1,0,0.42349724173740666,0.14245928497289348,0.6967719793319702,703.1294481754303
B,100003,1,1,0.44814210154572165,0.14245928497289348,1.7973763942718506,702.4351942539215
B,100003,1,2,0.4615669253765908,0.14245928497289348,0.7191165685653687,455.42906951904297
B,200006,1,0,0.373897103072251,0.15352589530223076,0.6128225326538086,699.349841594696
B,200006,1,1,0.3952651474539615,0.15352589530223076,0.3701820969581604,702.2905480861664
B,200006,1,2,0.43235426457157766,0.15352589530223076,0.7042311429977417,456.7040898799896
B,300009,1,0,0.37379670893139294,0.13928827565349663,0.7004383206367493,698.5323677062988
B,300009,1,1,0.39098153968567617,0.13928827565349663,0.7800331115722656,703.7354097366333
B,300009,1,2,0.3966012257837915,0.13928827565349663,0.9197118282318115,456.75109243392944
